0.00E+00	-6.99E+01
6.25E-11	-6.99E+01
1.25E-10	-6.99E+01
1.88E-10	-6.39E+01
2.50E-10	-6.36E+01
3.13E-10	-3.73E+01
3.75E-10	-5.27E+01
4.38E-10	-4.90E+01
5.00E-10	-5.88E+00
5.63E-10	5.89E+01
6.25E-10	1.02E+02
6.88E-10	7.78E+01
7.50E-10	2.30E+01
8.13E-10	-3.14E+01
8.75E-10	-4.95E+01
9.38E-10	-3.96E+01
1.00E-09	-2.34E+01
1.06E-09	-1.56E+01
1.13E-09	-7.53E+00
1.19E-09	-5.80E+00
1.25E-09	-5.21E+00
1.31E-09	1.03E+01
1.38E-09	2.65E+01
1.44E-09	4.21E+01
1.50E-09	4.98E+01
1.56E-09	4.79E+01
1.63E-09	1.25E+01
1.69E-09	-7.32E+01
1.75E-09	-2.16E+02
1.81E-09	-5.16E+02
1.88E-09	-1.11E+03
1.94E-09	-2.12E+03
2.00E-09	-3.58E+03
2.06E-09	-3.78E+03
2.13E-09	-1.49E+03
2.19E-09	3.86E+03
2.25E-09	1.21E+04
2.31E-09	1.45E+04
2.38E-09	1.09E+04
2.44E-09	-1.13E+03
2.50E-09	-1.25E+04
2.56E-09	-1.57E+04
2.63E-09	-1.08E+04
2.69E-09	-3.49E+03
2.75E-09	1.04E+03
2.81E-09	3.72E+03
2.88E-09	3.93E+03
2.94E-09	4.22E+03
3.00E-09	4.49E+03
3.06E-09	3.79E+03
3.13E-09	1.17E+03
3.19E-09	-1.46E+03
3.25E-09	-3.06E+03
3.31E-09	-3.06E+03
3.38E-09	-1.80E+03
3.44E-09	-4.69E+02
3.50E-09	3.17E+02
3.56E-09	6.68E+02
3.63E-09	6.61E+02
3.69E-09	6.33E+02
3.75E-09	6.12E+02
3.81E-09	6.10E+02
3.87E-09	4.31E+02
3.94E-09	-9.58E+01
4.00E-09	-4.12E+02
4.06E-09	-5.94E+02
4.13E-09	-4.21E+02
4.19E-09	-1.43E+02
4.25E-09	-7.31E+01
4.31E-09	-2.57E+02
4.38E-09	-4.07E+02
4.44E-09	-3.39E+01
4.50E-09	4.32E+02
4.56E-09	1.08E+03
4.63E-09	1.09E+03
4.69E-09	6.74E+02
4.75E-09	-3.98E+02
4.81E-09	-1.17E+03
4.88E-09	-1.04E+03
4.94E-09	-6.21E+02
