evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
usp2018vscp;2018-11-05T18:00:19.969Z;-37.154;-9.872;0.0;1.6;mR;"Gararu/SE";jroberto;M
usp2018vnan;2018-11-02T23:17:27.150Z;-58.741;0.846;0.0;3.1;mR;"Caroebe/RR";jroberto;M
usp2018vaun;2018-10-27T06:36:57.224Z;-39.611;-12.961;0.0;3.2;mR;"Amargosa/BA";jroberto;M
usp2018uwlp;2018-10-24T21:34:22.4Z;-39.516;-13.039;0.0;2.2;mR;"Amargosa/BA";jroberto;M
usp2018uwkg;2018-10-24T20:53:20.304Z;-51.900;-23.494;0.0;2.0;mR;"Sarandi/PR";jroberto;M
usp2018uweb;2018-10-24T17:45:54.221Z;-51.029;-23.312;0.0;2.1;mR;"Londrina/PR";jroberto;M
usp2018uwdf;2018-10-24T17:19:56.529Z;-51.498;-23.641;0.0;2.0;mR;"Apucarana/PR";jroberto;M
usp2018utvy;2018-10-23T11:23:13.520Z;-50.596;-27.421;0.0;2.6;MLv;"Curitibanos/SC";jroberto;M
usp2018uqnp;2018-10-21T15:46:18.820Z;-35.732;-9.359;0.0;1.8;mR;"Flexeiras/AL";jroberto;M
usp2018ujoj;2018-10-17T20:11:45.97Z;-36.278;-8.854;0.0;1.1;mR;"Angelim/PE";jroberto;M
usp2018ujlo;2018-10-17T18:47:14.42Z;-49.592;-14.299;0.0;2.9;mR;"Campos Verdes/GO";jroberto;M
usp2018ufjf;2018-10-15T13:02:38.90Z;-44.751;-18.855;0.0;2.5;mR;"Felixlandia/MG";jroberto;M
usp2018twwl;2018-10-10T21:29:19.19Z;-56.768;-20.349;0.0;2.1;mR;"Bodoquena/MS";jroberto;M
usp2018ture;2018-10-09T16:35:12.0Z;-43.715;-22.635;0.0;2.6;MLv;"Paracambi/RJ";jroberto;M
usp2018ttnm;2018-10-09T01:34:06.955Z;-54.422;-15.338;0.0;3.3;mR;"Primavera do Leste/MT";jroberto;M
usp2018ttkc;2018-10-08T23:51:27.0Z;-40.455;-3.546;0.0;1.5;mR;"Meruoca/CE";jroberto;M
usp2018tnrk;2018-10-05T20:44:53.343Z;-50.306;-24.864;0.0;2.3;mR;"Carambei/PR";jroberto;M
usp2018tlwi;2018-10-04T20:57:44.94Z;-56.552;-11.674;0.0;2.0;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2018tliv;2018-10-04T14:08:25.648Z;-51.151;-23.260;0.0;1.9;mR;"Londrina/PR";jroberto;M
usp2018tikr;2018-10-02T23:39:06.602Z;-73.950;-8.308;156.7;4.0;mb;"Peru-Brazil Border Region";jroberto;M
usp2018tawo;2018-09-28T20:35:16.20Z;-44.608;-21.101;0.0;2.3;mR;"Nazareno/MG";jroberto;M
usp2018szne;2018-09-28T02:41:49.0Z;-57.016;-25.943;0.0;2.4;mR;"Paraguay";jroberto;M
usp2018syqr;2018-09-27T15:20:24.204Z;-50.386;-29.519;0.0;2.5;mR;"Riozinho/RS";jroberto;M
usp2018sygc;2018-09-27T09:59:09.881Z;-38.862;-12.255;0.0;1.4;mR;"Feira de Santana/BA";jroberto;M
usp2018svho;2018-09-25T19:18:59.745Z;-43.843;-20.957;0.0;2.4;mR;"Carandai/MG";jroberto;M
usp2018sric;2018-09-23T15:02:49.480Z;-43.956;-20.483;0.0;2.3;mR;"Jeceaba/MG";jroberto;M
usp2018sqxn;2018-09-23T09:42:01.0Z;-73.703;-9.509;65.7;4.1;mb;"Peru-Brazil Border Region";jroberto;M
usp2018sqbo;2018-09-22T22:37:03.639Z;-50.947;-1.516;0.0;2.9;mR;"Melgaco/PA";jroberto;M
usp2018spzt;2018-09-22T21:42:02.0Z;-55.419;-7.170;0.0;2.9;mR;"Novo Progresso/PA";jroberto;M
usp2018sobi;2018-09-21T20:12:44.863Z;-37.421;-10.529;0.0;2.5;mR;"Ribeiropolis/SE";jroberto;M
usp2018slyu;2018-09-20T16:39:20.0Z;-51.682;-23.546;0.0;1.9;mR;"Mandaguari/PR";jroberto;M
usp2018sinc;2018-09-18T19:20:25.890Z;-40.680;-3.468;0.0;3.1;mR;"Moraujo/CE";jroberto;M
usp2018sies;2018-09-18T15:08:32.856Z;-43.815;-22.725;0.0;1.9;mR;"Seropedica/RJ";jroberto;M
usp2018shxp;2018-09-18T11:30:36.79Z;-47.686;-22.774;0.0;2.4;mR;"Piracicaba/SP";jroberto;M
usp2018shns;2018-09-18T06:31:49.987Z;-40.644;-16.447;0.0;1.9;mR;"Rubim/MG";jroberto;M
usp2018sgky;2018-09-17T15:59:15.276Z;-50.327;-21.755;0.0;2.3;mR;"Luiziania/SP";jroberto;M
usp2018saul;2018-09-14T13:58:05.339Z;-56.989;-25.894;0.0;2.8;mR;"Paraguay";jroberto;M
usp2018saey;2018-09-14T06:08:24.31Z;-48.921;-12.490;0.0;3.0;mR;"Alvorada/TO";jroberto;M
usp2018ryzz;2018-09-13T14:29:53.97Z;-51.104;-29.377;0.0;2.2;mR;"Nova Petropolis/RS";jroberto;M
usp2018rusb;2018-09-11T05:57:19.19Z;-52.365;-10.562;0.0;2.5;mR;"SaoJoseXingu/MT";jroberto;M
usp2018rpel;2018-09-08T05:23:54.19Z;-41.801;-24.208;0.0;2.7;mR;"Plataforma Continental/SP";jroberto;M
usp2018rhgd;2018-09-03T21:09:28.65Z;-59.310;-15.244;0.0;2.6;mR;"PonteseLacerda/MT";jroberto;M
usp2018qsnt;2018-08-26T19:58:25.564Z;-70.592;-11.212;635.9;4.6;mb;"Peru-Brazil Border Region";jroberto;M
usp2018qobe;2018-08-24T09:04:07.106Z;-70.883;-11.119;632.0;7.0;mB;"Peru-Brazil Border Region";jroberto;M
usp2018qgvm;2018-08-20T10:15:32.939Z;-40.719;-16.400;0.0;3.3;mR;"Rubim/MG";massumpcao;M
usp2018pybf;2018-08-15T14:54:32.0Z;-51.180;-15.039;0.0;3.1;mR;"Aruana/GO";jroberto;M
usp2018pveh;2018-08-14T01:04:07.6Z;-43.988;-22.845;0.0;2.0;mR;"Mangaratiba/RJ";jroberto;M
usp2018puuf;2018-08-13T19:58:09.243Z;-43.717;-22.737;0.0;2.1;MLv;"Seropedica/RJ";jroberto;M
usp2018purz;2018-08-13T18:50:54.897Z;-44.046;-22.872;0.0;1.0;M;"Mangaratiba/RJ";jroberto;M
usp2018puqz;2018-08-13T18:19:54.938Z;-37.191;-8.238;0.0;1.4;mR;"Sertania/PE";jroberto;M
usp2018pufs;2018-08-13T12:38:59.71Z;-43.948;-22.887;0.0;1.8;mR;"Mangaratiba/RJ";jroberto;M
usp2018pubu;2018-08-13T10:39:11.0Z;-43.948;-22.891;0.0;1.0;MLv;"Mangaratiba/RJ";jroberto;M
usp2018pknj;2018-08-08T05:08:54.580Z;-44.008;-22.937;0.0;2.5;mR;"Mangaratiba/RJ";jroberto;M
usp2018phat;2018-08-06T07:22:40.418Z;-50.722;-27.925;0.0;2.1;mR;"Campo Belo do Sul/SC";jroberto;M
usp2018omrs;2018-07-26T04:04:21.392Z;-50.510;-21.932;0.0;2.9;mR;"Tupa/SP";jroberto;M
usp2018omip;2018-07-25T23:28:26.91Z;-43.811;-19.884;0.0;2.1;mR;"Sabara/MG";jroberto;M
usp2018olks;2018-07-25T11:24:29.0Z;-38.846;-4.151;0.0;1.9;mR;"Palmacia/CE";jroberto;M
usp2018oiwp;2018-07-24T02:00:30.46Z;-70.248;1.221;260.2;3.9;mb;"Colombia";jroberto;M
usp2018nxoq;2018-07-17T21:29:30.400Z;-46.605;-21.873;0.0;2.4;mR;"Pocos de Caldas/MG";massumpcao;M
usp2018nxhs;2018-07-17T17:59:45.588Z;-50.558;-5.762;0.0;3.3;mR;"Parauapebas/PA";jroberto;M
usp2018nmku;2018-07-11T19:03:02.841Z;-49.330;-15.061;0.0;2.6;mR;"Sao Luiz do Norte/GO";jroberto;M
usp2018nlvh;2018-07-11T11:12:50.129Z;-56.737;-11.702;0.0;1.6;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2018nksr;2018-07-10T20:46:08.431Z;-37.101;-10.819;0.0;2.4;mR;"Nossa Senhora do Socorro/SE";jroberto;M
usp2018nkbf;2018-07-10T11:55:52.0Z;-39.550;-5.720;0.0;1.2;MLv;"Mombaca/CE";jroberto;M
usp2018msbs;2018-06-30T15:44:55.243Z;-44.728;-21.036;0.0;1.8;mR;"Bom Sucesso/MG";jroberto;M
usp2018mnii;2018-06-28T01:24:09.534Z;-73.890;-8.846;149.0;4.3;mb;"Peru-Brazil Border Region";jroberto;M
usp2018mlmp;2018-06-27T01:17:45.576Z;-55.933;-16.230;1.7;3.1;mR;"Barao de Melgaco/MT";jroberto;M
usp2018mklt;2018-06-26T11:43:07.416Z;-73.831;-8.252;167.8;4.1;mb;"Peru-Brazil Border Region";jroberto;M
usp2018mjeg;2018-06-25T18:47:55.644Z;-49.521;-26.098;0.0;2.2;mR;"Pien/PR";jroberto;M
usp2018mcad;2018-06-21T20:45:49.198Z;-46.957;-23.391;0.0;1.7;mR;"Pirapora do Bom Jesus/SP";jroberto;M
usp2018ltev;2018-06-17T00:55:10.759Z;-58.146;-27.188;0.0;2.3;mR;"Northeastern Argentina";massumpcao;M
usp2018lqak;2018-06-15T07:16:04.784Z;-42.885;-15.135;0.0;2.3;mR;"Monte Azul/MG";jroberto;M
usp2018lmrc;2018-06-13T11:09:50.901Z;-38.053;-4.783;0.0;1.8;MLv;"Palhano/CE";jroberto;M
usp2018llpi;2018-06-12T21:08:06.482Z;-35.988;-6.051;0.0;1.7;mR;"Sitio Novo/RN";jroberto;M
usp2018lefx;2018-06-08T20:25:01.149Z;-50.545;-24.920;0.0;2.1;mR;"Castro/PR";jroberto;M
usp2018kyti;2018-06-05T20:22:47.641Z;-48.050;-24.815;0.0;2.3;mR;"Cajati/SP";cleusa;M
usp2018kykw;2018-06-05T16:07:17.308Z;-46.897;-23.777;0.0;1.6;mR;"Itapecerica da Serra/SP";jroberto;M
usp2018kxxz;2018-06-05T09:36:05.513Z;-74.136;-8.610;151.1;4.2;mb;"Peru-Brazil Border Region";cleusa;M
usp2018kric;2018-06-01T18:45:28.0Z;-56.731;-11.606;0.0;1.1;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2018kjzj;2018-05-28T18:23:41.467Z;-56.779;-11.572;0.0;2.0;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2018kjua;2018-05-28T15:41:15.741Z;-60.546;-1.193;0.0;4.2;mR;"Presidente Figueiredo/AM";jroberto;M
usp2018keso;2018-05-25T21:16:33.104Z;-48.113;-24.718;0.0;2.8;mR;"Cajati/SP";marcelo;M
usp2018kbhf;2018-05-24T00:08:42.275Z;-39.880;-3.785;0.0;2.5;mR;"Iraucuba/CE";jroberto;M
usp2018juik;2018-05-20T04:47:21.616Z;-35.444;-5.531;0.0;1.9;mR;"Taipu/RN";jroberto;M
usp2018jnpm;2018-05-16T12:24:52.442Z;-37.242;-9.798;0.0;1.7;mR;"Belo Monte/AL";jroberto;M
usp2018jiub;2018-05-13T21:02:44.9Z;-42.287;-23.001;0.0;2.6;mR;"Araruama/RJ";jroberto;M
usp2018jfem;2018-05-11T21:46:05.766Z;-44.832;-21.740;0.0;2.3;mR;"Cruzilia/MG";jroberto;M
usp2018jemc;2018-05-11T12:29:07.128Z;-38.082;-4.948;0.0;2.3;mR;"Palhano/CE";jroberto;M
usp2018jdcf;2018-05-10T18:21:22.488Z;-46.824;-17.066;0.0;2.2;mR;"Paracatu/MG";jroberto;M
usp2018iwvo;2018-05-07T08:10:37.7Z;-45.351;-24.907;0.0;2.1;mR;"Ilhabela/SP";jroberto;M
usp2018ioij;2018-05-02T16:24:56.802Z;-43.509;-20.211;0.0;2.2;mR;"Ouro Preto/MG";jroberto;M
usp2018idcl;2018-04-26T12:55:26.711Z;-73.721;-7.178;170.0;4.6;mb;"Peru-Brazil Border Region";jroberto;M
usp2018hzbh;2018-04-24T07:47:48.17Z;-36.115;-5.575;0.0;1.5;mR;"Pedra Preta/RN";jroberto;M
usp2018hszp;2018-04-21T00:08:24.686Z;-56.817;-11.586;0.0;1.6;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2018hreg;2018-04-20T00:12:36.0Z;-71.778;-9.806;0.0;4.0;mR;"Peru-Brazil Border Region";massumpcao;M
usp2018hqpp;2018-04-19T16:47:58.885Z;-71.610;-9.499;10.0;4.6;mb;"Peru-Brazil Border Region";jroberto;M
usp2018hkek;2018-04-16T04:20:31.36Z;-48.834;-20.873;0.0;1.8;MLv;"Embauba/SP";jroberto;M
usp2018hhub;2018-04-14T20:50:18.342Z;-40.390;-3.628;0.0;1.3;mR;"Meruoca/CE";bbcollaco;M
usp2018hfia;2018-04-13T12:28:48.0Z;-47.751;-27.817;10.0;3.7;mR;"MargemContinental/SC";massumpcao;M
usp2018hbnv;2018-04-11T10:51:57.328Z;-44.795;-18.852;0.0;2.3;mR;"Felixlandia/MG";jroberto;M
usp2018guso;2018-04-07T17:18:40.0Z;-47.578;-23.687;0.0;2.0;mR;"Salto de Pirapora/SP";jroberto;M
usp2018gtiy;2018-04-06T23:18:48.834Z;-47.375;-23.856;0.0;1.9;mR;"Piedade/SP";jroberto;M
usp2018gtem;2018-04-06T21:03:51.708Z;-50.451;-5.957;0.0;3.1;mR;"Parauapebas/PA";jroberto;M
usp2018gstd;2018-04-06T15:19:22.891Z;-55.047;-17.585;0.0;2.8;mR;"Sonora/MS";jroberto;M
usp2018gssz;2018-04-06T15:15:22.671Z;-55.092;-17.613;0.0;2.6;mR;"Sonora/MS";jroberto;M
usp2018gpod;2018-04-04T21:23:45.247Z;-56.084;-12.568;0.0;2.8;mR;"Sorriso/MT";jroberto;M
usp2018flec;2018-03-19T06:14:32.75Z;-56.789;-11.554;0.0;2.3;mR;"Novo Horizonte do Norte/MT";jroberto;M
usp2018fjpi;2018-03-18T09:38:41.733Z;-35.515;-5.573;0.0;1.9;mR;"Taipu/RN";jroberto;M
usp2018feyy;2018-03-15T20:48:59.939Z;-48.594;-10.931;0.0;2.9;mR;"Brejinho de Nazare/TO";jroberto;M
usp2018fext;2018-03-15T20:13:29.693Z;-71.489;-8.588;580.5;4.3;mb;"Western Brazil";jroberto;M
usp2018fdeq;2018-03-14T21:25:18.2Z;-35.668;-8.162;0.0;1.5;mR;"Bezerros/PE";jroberto;M
usp2018faft;2018-03-13T06:35:06.259Z;-35.549;-5.516;0.0;2.4;mR;"Taipu/RN";jroberto;M
usp2018ezyw;2018-03-13T03:06:53.539Z;-46.375;-21.231;0.0;2.6;mR;"Monte Belo/MG";massumpcao;M
usp2018ewts;2018-03-11T09:05:45.729Z;-55.506;-13.484;0.0;3.3;mR;"Santa Rita do Trivelato/MT";jroberto;M
usp2018ewsc;2018-03-11T08:16:23.525Z;-35.669;-5.519;5.0;2.0;mR;"Taipu/RN";massumpcao;M
usp2018evvy;2018-03-10T21:05:30.199Z;-35.493;-5.530;0.0;1.7;mR;"Taipu/RN";jroberto;M
usp2018evsx;2018-03-10T19:32:48.0Z;-35.587;-5.567;0.0;1.8;mR;"Taipu/RN";jroberto;M
usp2018evlp;2018-03-10T15:51:57.949Z;-39.485;-14.897;0.0;1.8;mR;"Itape/BA";massumpcao;M
usp2018etsf;2018-03-09T16:55:16.785Z;-46.878;-24.531;0.0;2.6;mR;"Peruibe/SP";jroberto;M
usp2018eiui;2018-03-03T17:30:30.501Z;-35.798;-9.627;0.0;1.8;mR;"Coqueiro Seco/AL";jroberto;M
usp2018dwrn;2018-02-25T02:26:24.619Z;-47.212;-20.140;0.0;2.9;mR;"Rifaina/SP";jroberto;M
usp2018cdpr;2018-01-31T10:24:00.0Z;-54.896;-16.737;0.0;3.4;mR;"Rondonopolis/MT";jroberto;M
usp2018cdft;2018-01-31T05:22:34.0Z;-51.195;-23.351;0.0;0.6;MLv;"Londrina/PR";jroberto;M
usp2018cawf;2018-01-29T22:17:41.855Z;-40.930;-15.708;0.0;1.9;mR;"Divisopolis/MG";massumpcao;M
usp2018bufm;2018-01-26T07:01:02.987Z;-48.584;-21.382;2.5;2.3;MLv;"Jurupema/SP";jroberto;M
usp2018bryy;2018-01-25T01:27:20.712Z;-38.857;-17.064;0.0;3.1;mR;"Prado/BA";jroberto;M
usp2018bojv;2018-01-23T02:23:50.0Z;-51.190;-23.350;0.0;0.7;MLv;"Londrina/PR";massumpcao;M
usp2018boet;2018-01-22T23:50:38.0Z;-51.190;-23.350;0.0;1.4;MLv;"Londrina/PR";massumpcao;M
usp2018blwx;2018-01-21T17:36:24.0Z;-51.192;-23.354;0.0;1.1;MLv;"Londrina/PR";jroberto;M
usp2018bjqq;2018-01-20T12:09:23.272Z;-49.975;-13.903;0.0;2.9;mR;"Bonopolis/GO";jroberto;M
usp2018bgwy;2018-01-18T23:56:36.825Z;-51.010;-29.449;0.0;2.1;mR;"Santa Maria do Herval/RS";massumpcao;M
usp2018bckz;2018-01-16T13:20:47.61Z;-56.263;-15.588;0.0;2.8;mR;"Varzea Grande/MT";jroberto;M
usp2018baqx;2018-01-15T14:04:31.271Z;-45.082;-19.770;0.0;2.8;mR;"Leandro Ferreira/MG";jroberto;M
usp2017zmln;2017-12-29T13:51:20.0Z;-46.000;-20.600;0.0;2.3;mR;"Capitolio/MG";massumpcao;M
usp2017zkul;2017-12-28T16:05:29.22Z;-53.619;-13.670;0.0;2.9;mR;"Gaucha do Norte/MT";jroberto;M
usp2017yacx;2017-12-08T14:19:45.105Z;-72.955;-6.248;10.0;4.3;mb;"Peru-Brazil Border Region";jroberto;M
usp2017xplg;2017-12-02T18:02:34.190Z;-44.203;-2.986;0.0;2.2;mR;"Rosario/MA";jroberto;M
usp2017vxkl;2017-11-08T15:39:41.759Z;-60.119;-16.213;0.0;3.3;mR;"Central Bolivia";massumpcao;M
usp2017vtti;2017-11-06T15:36:26.858Z;-45.588;-23.382;0.0;2.7;mR;"Paraibuna/SP";jroberto;M
usp2017vpug;2017-11-04T11:30:52.810Z;-39.055;-18.142;0.0;1.9;mR;"Nova Vicosa/BA";jroberto;M
usp2017vglu;2017-10-30T09:01:23.388Z;-44.442;-24.306;0.0;2.2;mR;"Ilhabela/SP";jroberto;M
usp2017vazw;2017-10-27T09:18:52.865Z;-58.855;-15.740;0.0;2.9;mR;"Figueiropolis d'Oeste/MT";jroberto;M
usp2017urtj;2017-10-22T07:48:31.919Z;-73.768;-5.651;104.6;4.1;mb;"Peru-Brazil Border Region";jroberto@vitoria;M
usp2017ummr;2017-10-19T10:44:50.786Z;-72.186;-9.604;0.0;3.7;mb;"“SW-Tarauaca/AC”";jroberto;M
usp2017uljj;2017-10-18T19:56:08.736Z;-56.786;-11.566;0.0;2.1;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2017ukis;2017-10-18T06:28:22.0Z;-72.941;-6.863;0.0;4.0;mb;"Peru-Brazil Border Region";jroberto;M
usp2017ujdg;2017-10-17T14:35:29.279Z;-72.705;-5.838;0.0;3.6;mb;"Peru-Brazil Border Region";jroberto;M
usp2017uevh;2017-10-15T06:00:42.799Z;-58.246;-27.089;10.0;2.9;mR;"Northeastern Argentina";massumpcao;M
usp2017tlsd;2017-10-04T18:50:40.82Z;-50.503;-5.791;0.0;2.9;mR;"Parauapebas/PA";jroberto;M
usp2017tlob;2017-10-04T16:46:55.552Z;-50.547;-5.779;0.0;3.4;mR;"Parauapebas/PA";jroberto;M
usp2017tkuz;2017-10-04T07:08:39.971Z;-50.651;-5.760;0.0;2.1;MLv;"Parauapebas/PA";jroberto;M
usp2017texv;2017-10-01T01:46:21.842Z;-50.563;-5.832;0.0;3.3;mR;"Parauapebas/PA";jroberto;M
usp2017tdiw;2017-09-30T05:03:54.275Z;-50.845;-6.046;0.0;2.4;mR;"Ourilandia do Norte/PA";jroberto;M
usp2017swak;2017-09-26T04:51:01.891Z;-50.628;-5.930;0.0;2.7;mR;"Parauapebas/PA";jroberto;M
usp2017sneg;2017-09-21T08:33:57.417Z;-49.142;-13.750;0.0;3.3;mR;"Estrela do Norte/GO";jroberto;M
usp2017slfz;2017-09-20T07:09:20.344Z;-36.798;-8.339;0.0;3.0;mR;"Pesqueira/PE";jroberto;M
usp2017shrl;2017-09-18T08:24:24.422Z;-49.264;-25.024;0.0;2.0;mR;"Rio Branco do Sul/Itaperucu/PR";jroberto;M
usp2017shhh;2017-09-18T03:16:50.830Z;-49.366;-25.157;0.0;3.5;mR;"Rio Branco do Sul/Itaperucu/PR";jroberto;M
usp2017rzna;2017-09-13T21:04:45.0Z;-43.857;-3.143;0.0;2.7;MLv;"Cachoeira Grande/MA";jroberto;M
usp2017ruwr;2017-09-11T08:16:42.503Z;-51.461;3.698;0.0;3.5;mR;"Oiapoque/AP";jroberto;M
usp2017rtze;2017-09-10T20:24:16.808Z;-56.787;-11.579;0.0;1.9;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2017rqxq;2017-09-09T04:13:39.0Z;-51.793;-15.814;0.0;3.4;mR;"Araguaiana/MT";massumpcao;M
usp2017rpbl;2017-09-08T03:52:31.659Z;-48.498;-18.760;0.0;2.0;mR;"Uberlandia/MG";jroberto;M
usp2017rofu;2017-09-07T16:56:31.150Z;-43.256;-16.083;0.0;2.4;mR;"Janauba/MG";jroberto;M
usp2017roes;2017-09-07T16:23:20.734Z;-60.028;3.989;0.0;2.9;mR;"Normandia/RR";jroberto;M
usp2017roan;2017-09-07T14:16:19.849Z;-60.332;4.061;0.0;3.2;mR;"Normandia/RR";jroberto;M
usp2017rlux;2017-09-06T09:09:28.22Z;-43.909;-16.712;0.0;2.2;mR;"Montes Claros/MG";jroberto@vitoria;M
usp2017reht;2017-09-02T06:33:39.792Z;-72.146;-9.799;0.0;3.3;mb;"Peru-Brazil Border Region";jroberto;M
usp2017rdrs;2017-09-01T22:28:22.549Z;-74.188;-8.602;135.5;4.6;mb;"Peru-Brazil Border Region";jroberto;M
usp2017rdki;2017-09-01T18:44:05.988Z;-40.669;-18.670;0.0;2.5;mR;"Vila Pavao/ES";cleusa;M
usp2017raqz;2017-08-31T06:41:00.0Z;-50.089;-6.408;0.0;3.5;mR;"Canaa dos Carajas/PA";massumpcao;M
usp2017qzoq;2017-08-30T16:22:26.2Z;-55.190;-11.289;0.0;2.4;mR;"Itauba/MT";jroberto;M
usp2017qtmp;2017-08-27T08:31:00.833Z;-72.694;-8.471;10.0;3.5;mb;"Peru-Brazil Border Region";jroberto;M
usp2017qqua;2017-08-25T20:52:05.97Z;-49.912;-7.008;0.0;2.8;mR;"Xinguara/PA";jroberto;M
usp2017qjyj;2017-08-22T03:06:09.394Z;-73.214;-6.851;0.0;3.5;mb;"Vale do Javari/AM";jroberto;M
usp2017qebm;2017-08-18T21:51:45.0Z;-44.230;-22.900;0.0;1.3;MLv;"Angra dos Reis/RJ";massumpcao;M
usp2017qebd;2017-08-18T21:41:04.819Z;-44.233;-22.896;0.0;1.6;MLv;"Angra dos Reis/RJ";jroberto;M
usp2017qdbb;2017-08-18T08:31:22.994Z;-44.943;-21.180;0.0;0.9;MLv;"Ijaci/MG";jroberto;M
usp2017pvaj;2017-08-13T23:05:03.47Z;-55.406;1.777;0.0;2.6;mR;"Parque Nacional Tumucumaque/PA";jroberto;M
usp2017puxs;2017-08-13T21:44:24.429Z;-55.211;1.537;0.0;4.1;mR;"Parque Nacional Tumucumaque/PA";massumpcao;M
usp2017posl;2017-08-10T12:15:23.281Z;-41.145;-18.634;0.0;1.7;mR;"Sao Joao do Manteninha/MG";jroberto;M
usp2017pkxc;2017-08-08T10:04:17.693Z;-56.799;-11.594;0.0;2.3;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2017peix;2017-08-04T20:04:49.57Z;-51.926;-23.472;0.0;2.2;mR;"Maringa/PR";jroberto;M
usp2017peft;2017-08-04T18:29:04.188Z;-50.825;-22.887;0.0;1.9;mR;"Pedrinhas Paulista/SP";jroberto;M
usp2017pbuv;2017-08-03T10:41:46.66Z;-56.795;-11.587;0.0;2.5;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2017pbnu;2017-08-03T07:08:13.0Z;-56.714;-11.644;0.0;1.6;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2017pbnn;2017-08-03T07:00:32.385Z;-56.751;-11.580;0.0;2.4;MLv;"Novo Horizonte do Norte/MT";jroberto;M
usp2017pbmj;2017-08-03T06:25:46.939Z;-56.680;-11.661;0.0;2.7;mR;"Novo Horizonte do Norte/MT";jroberto;M
usp2017owji;2017-07-31T11:12:50.977Z;-71.236;-4.906;0.0;2.9;mR;"Atalaia do Norte/AM";jroberto;M
usp2017omma;2017-07-26T01:12:37.117Z;-43.897;-10.890;0.0;2.0;mR;"Mansidao/BA";jroberto;M
usp2017omdj;2017-07-25T20:49:51.138Z;-38.236;-4.129;0.0;3.3;mR;"Cascavel/CE";jroberto;M
usp2017ojxd;2017-07-24T15:24:26.772Z;-55.505;1.513;0.0;3.6;mR;"Oriximina/PA";jroberto;M
usp2017obie;2017-07-19T22:46:01.601Z;-66.171;-8.591;0.0;3.4;mR;"Labrea/AM";jroberto;M
usp2017oali;2017-07-19T11:13:11.646Z;-57.542;-11.522;0.0;2.6;mR;"Porto dos Gauchos/MT";jroberto;M
usp2017nvku;2017-07-16T17:15:45.768Z;-65.034;-1.320;0.0;4.1;mR;"Maraa/AM";massumpcao;M
usp2017nqip;2017-07-13T22:29:40.249Z;-47.489;-23.620;0.0;1.8;mR;"Votorantim/SP";jroberto;M
usp2017nlkx;2017-07-11T05:58:15.426Z;-50.612;-5.815;0.0;2.6;mR;"Parauapebas/PA";jroberto;M
usp2017ndis;2017-07-06T19:46:02.336Z;-54.414;1.622;0.0;3.2;mR;"Parque Nacional Tumucumaque/PA";jroberto;M
usp2017ndfj;2017-07-06T18:05:45.0Z;-50.682;-21.616;0.0;2.6;mR;"Piacatu/SP";jroberto;M
usp2017nbfr;2017-07-05T15:58:00.405Z;-58.272;-9.218;0.0;3.0;mR;"Cotriguacu/MT";jroberto;M
usp2017mojx;2017-06-28T15:19:55.58Z;-47.975;-17.487;0.0;2.0;mR;"Ipameri/GO";jroberto;M
usp2017mmxv;2017-06-27T20:05:43.38Z;-53.590;-31.557;0.0;1.8;mR;"Candiota/RS";jroberto;M
usp2017mmrm;2017-06-27T16:53:41.182Z;-56.058;-15.426;0.0;2.6;mR;"Cuiaba/MT";jroberto;M
usp2017mmnz;2017-06-27T15:07:57.39Z;-48.294;-17.325;0.0;2.6;mR;"Pires do Rio/GO";jroberto;M
usp2017mlbl;2017-06-26T19:39:03.306Z;-55.402;-7.049;0.0;2.0;MLv;"Novo Progresso/PA";jroberto;M
usp2017lyea;2017-06-19T18:10:57.103Z;-44.489;-13.398;0.0;2.6;mR;"Correntina/BA";jroberto;M
usp2017lxmd;2017-06-19T09:08:40.37Z;-38.480;-10.068;0.0;2.7;mR;"Jeremoabo/BA";jroberto;M
usp2017lxhl;2017-06-19T06:47:04.168Z;-50.469;-5.739;0.0;2.7;mR;"Parauapebas/PA";jroberto;M
usp2017lvld;2017-06-18T06:22:06.342Z;-73.021;-8.163;133.2;3.7;mb;"Peru-Brazil Border Region";jroberto@vitoria;M
usp2017lumb;2017-06-17T17:42:49.607Z;-44.531;-13.402;0.0;2.6;mR;"Correntina/BA";jroberto;M
usp2017lsms;2017-06-16T15:46:20.149Z;-44.714;-18.829;0.0;2.7;mR;"Felixlandia/MG";massumpcao;M
usp2017lnlp;2017-06-13T21:31:34.570Z;-55.295;-10.423;0.0;2.8;mR;"Terra Nova do Norte/MT";jroberto;M
usp2017lnjp;2017-06-13T20:31:11.574Z;-53.299;-8.444;0.0;3.1;mR;"Rio Peti/PA";jroberto;M
